11-02-2023 23:35:57 GameStructure::initialize()
11-02-2023 23:35:57 SDLGraphicsManager::Initialize()
11-02-2023 23:35:58 SDLGraphicsManager ready.
11-02-2023 23:35:58 ResourceManager: reading resources.xml.
11-02-2023 23:35:58 Discovered music asset#: 1 LevelMusic4
11-02-2023 23:35:58 Discovered fx asset#: 2 scratch.wav
11-02-2023 23:35:58 Discovered fx asset#: 3 high.wav
11-02-2023 23:35:58 Discovered fx asset#: 4 medium.wav
11-02-2023 23:35:58 Discovered fx asset#: 5 low.wav
11-02-2023 23:35:58 Discovered graphic asset#: 6 p1.png
11-02-2023 23:35:58 Discovered graphic asset#: 7 p2.png
11-02-2023 23:35:58 Discovered graphic asset#: 8 p3.png
11-02-2023 23:35:58 Unloading asset: Assets/Platformer/Base pack/Player/p1_walk/p1_walk.png
11-02-2023 23:35:58 Discovered graphic asset#: 9 p1.png
11-02-2023 23:35:58 Unloading asset: Assets/Platformer/Base pack/Player/p2_walk/p2_walk.png
11-02-2023 23:35:58 Discovered graphic asset#: 10 p2.png
11-02-2023 23:35:58 Unloading asset: Assets/Platformer/Base pack/Player/p3_walk/p3_walk.png
11-02-2023 23:35:58 Discovered graphic asset#: 11 p3.png
11-02-2023 23:35:58 Discovered font asset#: 12 arial.ttf
11-02-2023 23:35:58 Discovered fx asset#: 13 beep.wav
11-02-2023 23:35:58 Discovered fx asset#: 14 boop.wav
11-02-2023 23:35:58 Discovered music asset#: 15 LevelMusic1
11-02-2023 23:35:58 Discovered music asset#: 16 LevelMusic2
11-02-2023 23:35:58 Discovered music asset#: 17 LevelMusic3
11-02-2023 23:35:58 Unloading asset: game/assets/character2.png
11-02-2023 23:35:58 Discovered graphic asset#: 18 snap_player
11-02-2023 23:35:58 Unloading asset: game/assets/character1.png
11-02-2023 23:35:58 Discovered graphic asset#: 188 edge_player
11-02-2023 23:35:58 Unloading asset: game/assets/coin_gold.png
11-02-2023 23:35:58 Discovered graphic asset#: 19 goldcoin
11-02-2023 23:35:58 Unloading asset: game/assets/coin_silver.png
11-02-2023 23:35:58 Discovered graphic asset#: 20 silvercoin
11-02-2023 23:35:58 Unloading asset: game/assets/coin_copper.png
11-02-2023 23:35:58 Discovered graphic asset#: 21 coppercoin
11-02-2023 23:35:58 Unloading asset: game/assets/hud_spritesheet.png
11-02-2023 23:35:58 Discovered graphic asset#: 22 hudspritesheet
11-02-2023 23:35:58 Discovered fx asset#: 23 win.wav
11-02-2023 23:35:58 Discovered music asset#: 24 AutoLevelMusic
11-02-2023 23:35:58 Discovered music asset#: 25 LevelMusic5
11-02-2023 23:35:58 Discovered font asset#: 26 kenvector_future2.ttf
11-02-2023 23:35:58 27 assets available in resource manager.
11-02-2023 23:35:58 ResourceManager::initialize()
11-02-2023 23:35:58 EventManager: resource manager subscribed to event LevelChangedEventType
11-02-2023 23:35:58 SceneManager::initialize()
11-02-2023 23:35:58 EventManager: SceneManager subscribed to event LevelChangedEventType
11-02-2023 23:35:58 EventManager: SceneManager subscribed to event AddGameObjectToCurrentSceneEventId
11-02-2023 23:35:58 EventManager: SceneManager subscribed to event GenerateNewLevel
11-02-2023 23:35:58 EventManager: SceneManager subscribed to event GameObjectTypeEvent
11-02-2023 23:35:58 EventManager: SceneManager subscribed to event DrawCurrentScene
11-02-2023 23:35:58 EventManager: SceneManager subscribed to event UpdateAllGameObjectsEventType
11-02-2023 23:35:58 InitializeGameSubSystems...
11-02-2023 23:35:58 InitializeGameSubSystems...
11-02-2023 23:35:58 EventManager: GameCommands subscribed to event FetchedPickup
11-02-2023 23:35:58 EventManager: GameCommands subscribed to event NetworkTrafficReceived
11-02-2023 23:35:58 EventManager: level_manager subscribed to event GenerateNewLevel
11-02-2023 23:35:58 EventManager: level_manager subscribed to event InvalidMove
11-02-2023 23:35:58 EventManager: level_manager subscribed to event FetchedPickup
11-02-2023 23:35:58 EventManager: level_manager subscribed to event GameObjectTypeEvent
11-02-2023 23:35:58 EventManager: level_manager subscribed to event LevelChangedEventType
11-02-2023 23:35:58 EventManager: level_manager subscribed to event FetchedPickup
11-02-2023 23:35:58 EventManager: level_manager subscribed to event StartNetworkLevel
11-02-2023 23:35:58 EventManager: level_manager subscribed to event UpdateProcesses
11-02-2023 23:35:58 EventManager: level_manager subscribed to event GameWon
11-02-2023 23:35:58 EventManager: level_manager subscribed to event CollidedWithEnemyEvent
11-02-2023 23:35:58 EventManager: level_manager subscribed to event PLayerDied
11-02-2023 23:35:58 EventManager: level_manager subscribed to event CollidedWithEnemyEvent
11-02-2023 23:35:58 Initializing Level Manager...
11-02-2023 23:35:58 Initializing Level Manager...
11-02-2023 23:35:59 EventManager: Enemy subscribed to event Fire
11-02-2023 23:35:59 EventManager: Enemy subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Enemy subscribed to event Fire
11-02-2023 23:35:59 EventManager: Enemy subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Enemy subscribed to event Fire
11-02-2023 23:35:59 EventManager: Enemy subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Enemy subscribed to event Fire
11-02-2023 23:35:59 EventManager: Enemy subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Enemy subscribed to event Fire
11-02-2023 23:35:59 EventManager: Enemy subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Enemy subscribed to event Fire
11-02-2023 23:35:59 EventManager: Enemy subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
11-02-2023 23:35:59 EventManager: Room subscribed to event SettingsReloaded
11-02-2023 23:35:59 EventManager: Room subscribed to event PlayerMovedEventType
